filename,label,nca0,nca1
Oppo_A_H1f1_Kanan_cutout.png,H1,-37.43984319177043,-81.66126897098208
Oppo_A_H1f1_Kiri_cutout.png,H1,-16.105075418612994,-61.33547825667439
Oppo_A_H1f2_Kanan_cutout.png,H1,-61.718581693485724,-2.7204152480473187
Oppo_A_H1f2_Kiri_cutout.png,H1,-66.06593586502825,-20.029372814975627
Oppo_B_H1f1_Kanan_cutout.png,H1,-19.96670057102211,-47.749519888750484
Oppo_B_H1f1_Kiri_cutout.png,H1,-43.03443210933771,-5.173157271895931
Oppo_B_H1f2_Kanan_cutout.png,H1,-52.64452359587982,30.175016764896807
Oppo_B_H1f2_Kiri_cutout.png,H1,-64.64432799900675,38.18120044772063
Oppo_C_H1f1_Kanan_cutout.png,H1,-23.93067870966448,-88.32645631849468
Oppo_C_H1f1_Kiri_cutout.png,H1,-23.99725355239492,-42.659528700582555
Oppo_C_H1f2_Kanan_cutout.png,H1,-63.839836070824894,-45.18309691035397
Oppo_C_H1f2_Kiri_cutout.png,H1,-58.20274796779796,52.83901901565429
Oppo_D_H1f1_Kanan_cutout.png,H1,-62.00911693490081,-2.7069066901562366
Oppo_D_H1f1_Kiri_cutout.png,H1,-20.35330662212796,-51.993843829768466
Oppo_D_H1f2_Kanan_cutout.png,H1,-62.021587023165694,41.53682730107947
Oppo_D_H1f2_Kiri_cutout.png,H1,-67.88808210085412,-18.286644701143295
Oppo_E_H1f1_Kanan_cutout.png,H1,-21.539353946115625,-51.69342751230345
Oppo_E_H1f1_Kiri_cutout.png,H1,-53.04490870022073,-64.95708503521186
Oppo_E_H1f2_Kanan_cutout.png,H1,-57.61899212837745,18.550633975030955
Oppo_E_H1f2_Kiri_cutout.png,H1,-47.80437916795949,4.371855490477053
Oppo_F_H1f1_Kanan_cutout.png,H1,-33.583828489977385,-18.925097583617195
Oppo_F_H1f1_Kiri_cutout.png,H1,-51.02230918943215,-11.493792409184655
Oppo_F_H1f2_Kanan_cutout.png,H1,-36.36472476997447,42.33005191905795
Oppo_F_H1f2_Kiri_cutout.png,H1,-53.77189753328214,53.050370471349936
Oppo_G_H1f1_Kanan_cutout.png,H1,-31.338863080324938,-56.18499609314781
Oppo_G_H1f1_Kiri_cutout.png,H1,-64.72026653542717,-28.205569232105987
Oppo_G_H1f2_Kanan_cutout.png,H1,-63.999254211946706,29.744914196780744
Oppo_G_H1f2_Kiri_cutout.png,H1,-37.6901256661788,31.513129155613242
Oppo_H_H1f1_Kanan_cutout.png,H1,-20.458577062148194,-88.87186830069759
Oppo_H_H1f1_Kiri_cutout.png,H1,-53.05269805043169,-51.614572877139985
Oppo_H_H1f2_Kanan_cutout.png,H1,-36.87713068411586,55.17469680890312
Oppo_H_H1f2_Kiri_cutout.png,H1,-55.81806153748664,6.326798332738277
Oppo_I_H1f1_Kanan_cutout.png,H1,-13.9013853919736,-56.831065511654856
Oppo_I_H1f1_Kiri_cutout.png,H1,-30.05684048865639,-40.72145592630631
Oppo_I_H1f2_Kanan_cutout.png,H1,-48.04868010180871,4.368610016097202
Oppo_I_H1f2_Kiri_cutout.png,H1,-53.794223586111706,-3.175117138071696
Oppo_J_H1f1_Kanan_cutout.png,H1,-3.6745478451251703,-88.04091315027861
Oppo_J_H1f1_Kiri_cutout.png,H1,-8.08087138253433,-77.32782905988023
Oppo_J_H1f2_Kanan_cutout.png,H1,-66.95850750346686,14.721318148211127
Oppo_J_H1f2_Kiri_cutout.png,H1,-48.16293355271502,37.948716631273605
Oppo_K_H1f1_Kanan_cutout.png,H1,-52.700347796438884,-6.7615903317062065
Oppo_K_H1f1_Kiri_cutout.png,H1,-64.81513248758134,-10.314393279090286
Oppo_K_H1f2_Kanan_cutout.png,H1,-58.429079592359855,-32.169591370802344
Oppo_K_H1f2_Kiri_cutout.png,H1,-79.61804034588847,4.750312260642409
Oppo_L_H1f1_Kanan_cutout.png,H1,-74.03884275789741,-28.670946242385618
Oppo_L_H1f1_Kiri_cutout.png,H1,-47.36744709862796,-14.613852939832803
Oppo_L_H1f2_Kanan_cutout.png,H1,-61.36187023716792,44.25624802644754
Oppo_L_H1f2_Kiri_cutout.png,H1,-55.34976259411442,5.658132797164244
Oppo_M_H1f1_Kanan_cutout.png,H1,-49.18128660900326,-14.312978420093016
Oppo_M_H1f1_Kiri_cutout.png,H1,-52.60107860851921,-19.556359315345023
Oppo_M_H1f2_Kanan_cutout.png,H1,-55.82759274549547,14.665078973501744
Oppo_M_H1f2_Kiri_cutout.png,H1,-49.764552355973294,1.0891895336782706
Oppo_N_H1f1_Kanan_cutout.png,H1,-25.24545296595865,-61.390722619290194
Oppo_N_H1f1_Kiri_cutout.png,H1,-35.46535312809765,-43.06786244606795
