filename,label,nca0,nca1,nca2,nca3,nca4,nca5,nca6,nca7,nca8
Oppo_A_H1f1_Kanan_cutout.png,H1,-13.429702777136766,-22.174998163041025,3.543739240540485,-4.68875355182085,-4.409891793501623,-20.09053148908784,-20.5843766188143,3.580942581982475,-2.315618436740523
Oppo_A_H1f1_Kiri_cutout.png,H1,-4.316550596086668,-14.37123678274058,1.8732302894702575,5.807133993321223,-10.291464135696017,-3.49246308319499,-12.09830713711751,-2.0408915837281,0.1548257033256726
Oppo_A_H1f2_Kanan_cutout.png,H1,-21.124923498557486,-7.328243222409351,1.0144685821035406,-26.61428014320549,3.1304865968475144,-10.229719573729922,-11.086336156251871,10.712233541554934,-1.8982489134334823
Oppo_A_H1f2_Kiri_cutout.png,H1,-23.323046271725744,-7.731632950284281,3.901109184150907,-30.89818589117292,2.4341328067050503,-9.378243084715796,-14.053439328462511,9.454448833408042,-0.4007195919884094
Oppo_B_H1f1_Kanan_cutout.png,H1,-3.6591788534106775,-13.544231324425368,5.12064216894856,7.971598157275087,-3.835041961231676,-10.586890498719256,-18.36275183878246,-6.211674192323635,4.298903371656901
Oppo_B_H1f1_Kiri_cutout.png,H1,-12.047481941774995,-11.944609430049871,1.0642425567263656,6.098752323154528,-2.16156248787215,-11.387007613386515,-10.419489978041556,-7.426004711595566,0.8767729385315011
Oppo_B_H1f2_Kanan_cutout.png,H1,-20.875795190482613,-3.7601679474085175,3.383047788046706,-21.343162912062457,8.999762358463512,-7.790152853551651,-11.33426327574051,10.925490944730953,-2.80648004645545
Oppo_B_H1f2_Kiri_cutout.png,H1,-22.031575150462423,-5.913357071636693,-0.36297039537315046,-24.00094742352924,5.43979204546771,-6.858631836674779,-9.022184849943518,9.997569793241453,-3.9379991619261454
Oppo_C_H1f1_Kanan_cutout.png,H1,-7.722208318964201,-19.40839334229684,4.843188698930215,-2.1363715338785383,-5.463864549190584,-7.324526248672712,-18.61301050962797,-0.2581244996799621,-0.28364370646162546
Oppo_C_H1f1_Kiri_cutout.png,H1,1.2100044916215171,-12.87364392062284,2.4438191726874376,9.558706408127954,-5.619586409024274,-8.341753098637712,-13.559091217001484,-4.357606549220451,2.8075727604356975
Oppo_C_H1f2_Kanan_cutout.png,H1,-23.422836576471273,-8.849171052368735,-2.7620717662403957,-23.640787106400172,7.931882173365057,-15.093425676993352,-11.694851497773094,15.100484962021575,-2.9288428708692953
Oppo_C_H1f2_Kiri_cutout.png,H1,-19.085720678169178,-2.782408715461184,1.2979933725758859,-21.4511615735487,6.295701755901387,-7.488709762109985,-8.85224709844384,9.827802191705873,-2.9972366225988916
Oppo_D_H1f1_Kanan_cutout.png,H1,-3.061775520857318,-14.254878543982084,18.78098298520943,9.399893316128086,-6.089533717240202,-10.161600423562824,-13.600973792948194,-3.2131177117688847,2.282758623039946
Oppo_D_H1f1_Kiri_cutout.png,H1,-1.9599679732485327,-11.744787439232583,0.29195312401949214,10.613495886435441,-3.914531917687914,-7.493628423316602,-9.767341640578834,-2.24463827828824,4.037931742803628
Oppo_D_H1f2_Kanan_cutout.png,H1,-23.272983179143065,-6.410790761285359,5.034303215313403,-27.094281071172485,6.864306385363887,-6.658966391218313,-11.806851609125017,12.751332738456236,-1.3158498405223484
Oppo_D_H1f2_Kiri_cutout.png,H1,-24.641700979687673,-8.584214596647566,2.5742761948551682,-30.518533730444815,6.613570490203626,-9.248901241690762,-13.862547980272653,13.364570227209233,-1.7730959742490533
